Практика,"% студентов, выполнивших",% с оценкой 2,% с оценкой 3,% с оценкой 4,% с оценкой 5,% без опозданий,Медианная оценка,Медианное время (мин),Медианное опоздание (дни)
1,100.0,39.130434782608695,52.17391304347826,8.695652173913043,0.0,0.0,2.42,47.0,5.0
2,0.0,,,,,,,,
3,100.0,0.0,4.3478260869565215,82.6086956521739,13.043478260869565,86.95652173913044,3.63,48.0,-1.0
4,95.65217391304348,0.0,13.636363636363637,54.54545454545455,31.818181818181817,86.36363636363636,3.89,65.0,0.0
5,91.30434782608695,4.761904761904762,19.047619047619047,33.333333333333336,42.857142857142854,80.95238095238095,3.83,64.0,0.0
6,47.82608695652174,18.181818181818183,54.54545454545455,18.181818181818183,9.090909090909092,100.0,2.5,300.0,-35.0
7,91.30434782608695,0.0,9.523809523809524,61.904761904761905,28.571428571428573,76.19047619047619,3.89,52.0,0.0
8,60.869565217391305,28.571428571428573,28.571428571428573,7.142857142857143,35.714285714285715,92.85714285714286,3.0,412.5,0.0
9,91.30434782608695,0.0,0.0,14.285714285714286,85.71428571428571,4.761904761904762,4.17,21.0,4.0
10,91.30434782608695,0.0,28.571428571428573,71.42857142857143,0.0,80.95238095238095,3.57,29.0,0.0
11,60.869565217391305,7.142857142857143,28.571428571428573,35.714285714285715,28.571428571428573,92.85714285714286,3.75,439.5,0.0
12,95.65217391304348,0.0,0.0,31.818181818181817,68.18181818181819,86.36363636363636,4.23,70.0,0.0
13,52.17391304347826,0.0,33.333333333333336,50.0,16.666666666666668,100.0,3.9,780.0,0.0
14,91.30434782608695,0.0,9.523809523809524,80.95238095238095,9.523809523809524,85.71428571428571,4.0,23.0,0.0
15,65.21739130434783,0.0,100.0,0.0,0.0,100.0,2.5,138.0,0.0
