ID,total_score,total_time,total_delay,practices_done,percent_of_max,Кластер
1,33.58,452.0,10.0,9,47.97142857142857,0
2,54.69,3140.0,8.0,14,78.12857142857142,3
3,35.599999999999994,1838.0,519.0,11,50.85714285714285,0
4,22.39,2403.0,104.0,6,31.985714285714284,0
5,44.11,3777.0,9.0,13,63.01428571428571,2
6,34.19,346.0,83.0,9,48.842857142857135,0
7,41.53,1356.0,31.0,13,59.32857142857143,2
8,35.959999999999994,263.0,195.0,10,51.37142857142857,0
9,28.64,426.0,345.0,9,40.91428571428571,0
10,52.58,4334.0,6.0,14,75.11428571428571,1
11,58.09,3105.0,9.0,14,82.9857142857143,3
12,48.92,2737.0,65.0,14,69.88571428571429,1
13,36.47,891.0,9.0,13,52.1,1
14,42.38,2359.0,10.0,12,60.542857142857144,2
15,42.61,2810.0,5.0,12,60.87142857142857,2
16,50.22,2980.0,9.0,14,71.74285714285715,3
17,41.83,1830.0,10.0,12,59.75714285714285,0
18,32.39,645.0,169.0,9,46.27142857142857,0
19,47.66,5312.0,69.0,14,68.08571428571429,2
20,49.519999999999996,2038.0,10.0,14,70.74285714285715,2
21,29.450000000000003,1709.0,122.0,8,42.07142857142858,0
22,42.71999999999999,2612.0,9.0,13,61.02857142857142,2
23,12.18,1266.0,74.0,4,17.4,0
