Практика,Кластер 0 (n=10),Кластер 1 (n=3),Кластер 2 (n=7),Кластер 3 (n=3)
1,100.0,100.0,100.0,100.0
3,100.0,100.0,100.0,100.0
4,100.0,100.0,85.71428571428571,100.0
5,80.0,100.0,85.71428571428571,100.0
6,20.0,100.0,28.57142857142857,100.0
7,20.0,100.0,28.57142857142857,100.0
8,10.0,100.0,28.57142857142857,100.0
9,10.0,100.0,28.57142857142857,100.0
10,10.0,100.0,28.57142857142857,100.0
11,0.0,100.0,28.57142857142857,100.0
12,0.0,100.0,28.57142857142857,100.0
13,0.0,66.66666666666666,28.57142857142857,100.0
14,0.0,66.66666666666666,28.57142857142857,100.0
15,0.0,66.66666666666666,28.57142857142857,100.0
